time,gFx,gFy,gFz,TgF
0.245877693,0.8514,0.8387,-0.0386,1.196
0.246104462,0.8541,0.8402,-0.0391,1.199
0.24632077,0.8563,0.8400,-0.0401,1.200
0.248445346,0.8580,0.8373,-0.0410,1.200
0.249971154,0.8612,0.8341,-0.0428,1.200
0.252657346,0.8617,0.8299,-0.0442,1.197
0.254388808,0.8619,0.8277,-0.0442,1.196
0.256074,0.8597,0.8209,-0.0447,1.190
0.258091231,0.8541,0.8170,-0.0459,1.183
0.263198616,0.8453,0.8031,-0.0469,1.167
0.263325462,0.8453,0.8031,-0.0469,1.167
0.263690308,0.8414,0.7989,-0.0481,1.161
0.265693846,0.8329,0.7908,-0.0489,1.150
0.267718731,0.8189,0.7808,-0.0459,1.132
0.269891539,0.8131,0.7759,-0.0452,1.125
0.272417962,0.7994,0.7650,-0.0428,1.107
0.273915577,0.7869,0.7542,-0.0413,1.091
0.277062231,0.7794,0.7491,-0.0406,1.082
0.285790462,0.7647,0.7391,-0.0396,1.064
0.285986654,0.7415,0.7237,-0.0352,1.037
0.286084231,0.7344,0.7237,-0.0352,1.032
0.286164423,0.7276,0.7127,-0.0322,1.019
0.286239923,0.7161,0.7044,-0.0288,1.005
0.289141423,0.7110,0.7005,-0.0259,0.998
0.290248308,0.7014,0.6931,-0.0213,0.986
0.291948,0.6936,0.6880,-0.0176,0.977
0.294217769,0.6902,0.6851,-0.0156,0.973
0.295979539,0.6826,0.6794,-0.0115,0.963
0.298103539,0.6785,0.6787,-0.0100,0.960
0.304145039,0.6731,0.6743,-0.0022,0.953
0.304796154,0.6731,0.6743,-0.0022,0.953
0.305140616,0.6721,0.6738,0.0032,0.952
0.308396269,0.6721,0.6755,0.0051,0.953
0.309921808,0.6733,0.6748,0.0088,0.953
0.312606269,0.6741,0.6750,0.0112,0.954
0.312772462,0.6750,0.6777,0.0151,0.957
0.314313693,0.6743,0.6790,0.0183,0.957
0.316407539,0.6758,0.6814,0.0195,0.960
0.318444231,0.6777,0.6846,0.0232,0.964
0.323053077,0.6790,0.6897,0.0281,0.968
0.323239423,0.6799,0.6914,0.0286,0.970
0.324572808,0.6804,0.6929,0.0291,0.972
0.327585116,0.6809,0.6978,0.0303,0.975
0.328073423,0.6819,0.7000,0.0308,0.978
0.330244769,0.6826,0.7034,0.0337,0.981
0.332770423,0.6826,0.7051,0.0342,0.982
0.334024039,0.6816,0.7097,0.0347,0.985
0.336342154,0.6804,0.7141,0.0340,0.987
0.337806693,0.6812,0.7158,0.0340,0.989
0.342973231,0.6738,0.7266,0.0337,0.992
0.343184769,0.6738,0.7266,0.0337,0.992
0.345975077,0.6733,0.7281,0.0335,0.992
0.346471693,0.6731,0.7320,0.0308,0.995
0.348673923,0.6724,0.7366,0.0291,0.998
0.350129154,0.6704,0.7378,0.0291,0.997
0.352410846,0.6692,0.7408,0.0288,0.999
0.354191385,0.6672,0.7447,0.0266,1.000
0.356380539,0.6660,0.7476,0.0242,1.002
0.357872116,0.6631,0.7510,0.0203,1.002
0.362617808,0.6582,0.7547,0.0161,1.002
0.362776885,0.6582,0.7547,0.0161,1.002
0.363721231,0.6570,0.7557,0.0139,1.001
0.365720308,0.6548,0.7571,0.0098,1.001
0.367668039,0.6533,0.7581,0.0093,1.001
0.370886077,0.6511,0.7610,0.0071,1.002
0.371880962,0.6506,0.7615,0.0046,1.002
0.374358846,0.6496,0.7625,0.0027,1.002
0.379753154,0.6494,0.7640,-0.0010,1.003
0.380465193,0.6487,0.7650,-0.0029,1.003
0.383207308,0.6499,0.7669,-0.0120,1.005
0.383700231,0.6499,0.7669,-0.0120,1.005
0.383917539,0.6499,0.7679,-0.0142,1.006
0.387813423,0.6494,0.7684,-0.0161,1.006
0.388101423,0.6489,0.7694,-0.0191,1.007
0.390094154,0.6487,0.7696,-0.0227,1.007
0.391819077,0.6479,0.7715,-0.0286,1.008
0.395266808,0.6457,0.7723,-0.0332,1.007
0.395904577,0.6460,0.7718,-0.0357,1.007
0.397767346,0.6462,0.7703,-0.0388,1.006
0.402029808,0.6457,0.7720,-0.0435,1.007
0.402122577,0.6457,0.7720,-0.0435,1.007
0.403938577,0.6448,0.7711,-0.0476,1.006
0.406137269,0.6430,0.7725,-0.0513,1.006
0.408270077,0.6421,0.7725,-0.0530,1.006
0.411633462,0.6416,0.7720,-0.0562,1.005
0.412517077,0.6413,0.7720,-0.0574,1.005
0.413894231,0.6411,0.7713,-0.0599,1.005
0.415837423,0.6404,0.7711,-0.0640,1.004
0.417982308,0.6386,0.7708,-0.0662,1.003
0.423154769,0.6364,0.7679,-0.0689,1.000
0.423318923,0.6364,0.7679,-0.0689,1.000
0.423909077,0.6360,0.7674,-0.0699,0.999
0.426038577,0.6333,0.7664,-0.0730,0.997
0.428458731,0.6333,0.7652,-0.0750,0.996
0.429929692,0.6335,0.7650,-0.0762,0.996
0.432475269,0.6345,0.7642,-0.0804,0.997
0.433770423,0.6362,0.7650,-0.0826,0.998
0.436577308,0.6362,0.7652,-0.0840,0.999
0.438109077,0.6382,0.7664,-0.0880,1.001
0.442609808,0.6418,0.7650,-0.0899,1.003
0.442875231,0.6418,0.7650,-0.0899,1.003
0.446420769,0.6433,0.7662,-0.0923,1.005
0.446643385,0.6460,0.7667,-0.0958,1.007
0.448975923,0.6467,0.7672,-0.0970,1.008
0.450214077,0.6489,0.7679,-0.0989,1.010
0.452713885,0.6494,0.7686,-0.1002,1.011
0.454017769,0.6504,0.7706,-0.1021,1.014
0.456225154,0.6550,0.7691,-0.1036,1.016
0.457946346,0.6567,0.7689,-0.1046,1.017
0.462201539,0.6557,0.7689,-0.1109,1.017
0.462307692,0.6557,0.7689,-0.1109,1.017
0.464120654,0.6562,0.7686,-0.1116,1.017
0.465810769,0.6579,0.7662,-0.1134,1.016
0.467744923,0.6599,0.7664,-0.1153,1.018
0.470242231,0.6599,0.7667,-0.1153,1.018
0.472469269,0.6609,0.7654,-0.1170,1.018
0.474467923,0.6606,0.7642,-0.1192,1.017
0.475989654,0.6611,0.7652,-0.1197,1.018
0.480961385,0.6628,0.7657,-0.1195,1.020
0.483799769,0.6631,0.7632,-0.1204,1.018
0.484939731,0.6631,0.7620,-0.1214,1.017
0.485437423,0.6633,0.7618,-0.1222,1.017
0.489752539,0.6631,0.7632,-0.1219,1.018
0.489998154,0.6636,0.7620,-0.1229,1.018
0.490260346,0.6650,0.7613,-0.1234,1.018
0.492676077,0.6653,0.7625,-0.1241,1.020
0.494637616,0.6636,0.7603,-0.1248,1.017
0.496159846,0.6609,0.7606,-0.1248,1.015
0.497877923,0.6606,0.7601,-0.1256,1.015
0.502022692,0.6599,0.7562,-0.1278,1.012
0.502136654,0.6599,0.7562,-0.1278,1.012
0.504038692,0.6589,0.7554,-0.1270,1.010
0.505911385,0.6577,0.7547,-0.1280,1.009
0.507874769,0.6584,0.7525,-0.1275,1.008
0.510246769,0.6577,0.7518,-0.1273,1.007
0.512463692,0.6582,0.7525,-0.1290,1.008
0.514134154,0.6587,0.7513,-0.1305,1.008
0.515940423,0.6584,0.7518,-0.1305,1.008
0.517793385,0.6584,0.7493,-0.1305,1.006
0.521887269,0.6594,0.7483,-0.1329,1.006
0.522009885,0.6594,0.7483,-0.1329,1.006
0.523792385,0.6609,0.7486,-0.1329,1.007
0.525832577,0.6626,0.7498,-0.1331,1.009
0.528776423,0.6631,0.7488,-0.1351,1.009
0.530095462,0.6636,0.7486,-0.1356,1.009
0.532313385,0.6645,0.7479,-0.1351,1.010
0.533922154,0.6665,0.7471,-0.1363,1.010
0.535960462,0.6704,0.7476,-0.1368,1.013
0.5390275,0.6719,0.7466,-0.1363,1.014
0.542167769,0.6750,0.7474,-0.1344,1.016
0.542340192,0.6750,0.7474,-0.1344,1.016
0.545668615,0.6763,0.7461,-0.1344,1.016
0.546189269,0.6799,0.7447,-0.1353,1.017
0.547945615,0.6836,0.7430,-0.1353,1.019
0.550013192,0.6851,0.7420,-0.1349,1.019
0.552235962,0.6902,0.7447,-0.1324,1.024
0.554433346,0.6953,0.7413,-0.1329,1.025
0.556299962,0.6958,0.7403,-0.1314,1.024
0.557821962,0.6978,0.7395,-0.1307,1.025
0.562615769,0.7014,0.7354,-0.1285,1.024
0.562758654,0.7014,0.7354,-0.1285,1.024
0.563985539,0.7046,0.7351,-0.1256,1.026
0.565846115,0.7063,0.7332,-0.1246,1.026
0.568013923,0.7090,0.7281,-0.1231,1.024
0.571780577,0.7078,0.7239,-0.1219,1.020
0.571982923,0.7102,0.7244,-0.1202,1.022
0.574492962,0.7141,0.7222,-0.1143,1.022
0.576102577,0.7154,0.7205,-0.1126,1.022
0.581540231,0.7156,0.7195,-0.1126,1.021
0.581839077,0.7188,0.7166,-0.1092,1.021
0.581993385,0.7215,0.7168,-0.1085,1.023
0.583794846,0.7232,0.7163,-0.1075,1.024
0.586647615,0.7234,0.7139,-0.1055,1.022
0.588969,0.7259,0.7115,-0.1038,1.022
0.589941346,0.7266,0.7095,-0.1019,1.021
0.592145846,0.7276,0.7078,-0.0999,1.020
0.594385808,0.7278,0.7061,-0.0975,1.019
0.597608269,0.7286,0.7049,-0.0965,1.018
0.598451231,0.7298,0.7022,-0.0941,1.017
0.603006692,0.7332,0.7017,-0.0909,1.019
0.603165615,0.7332,0.7017,-0.0909,1.019
0.604535154,0.7320,0.6992,-0.0894,1.016
0.605940269,0.7325,0.6970,-0.0882,1.015
0.608078115,0.7327,0.6951,-0.0865,1.014
0.610354462,0.7339,0.6909,-0.0855,1.012
0.613517962,0.7334,0.6902,-0.0843,1.011
0.614212423,0.7342,0.6897,-0.0838,1.011
0.616259538,0.7344,0.6878,-0.0828,1.010
0.618193231,0.7354,0.6858,-0.0831,1.009
0.622051077,0.7371,0.6816,-0.0804,1.007
0.622156154,0.7369,0.6812,-0.0809,1.007
0.624305346,0.7376,0.6812,-0.0814,1.007
0.626099385,0.7398,0.6819,-0.0801,1.009
0.628331615,0.7427,0.6824,-0.0816,1.012
0.630670308,0.7439,0.6819,-0.0821,1.013
0.632098192,0.7471,0.6819,-0.0806,1.015
0.633784846,0.7479,0.6812,-0.0809,1.015
0.636410615,0.7481,0.6794,-0.0801,1.014
0.637992577,0.7476,0.6802,-0.0792,1.014
0.642923192,0.7476,0.6792,-0.0801,1.013
0.643072,0.7476,0.6792,-0.0801,1.013
0.644475385,0.7498,0.6787,-0.0787,1.014
0.647004538,0.7515,0.6794,-0.0779,1.016
0.648312885,0.7544,0.6790,-0.0770,1.018
0.650045846,0.7535,0.6787,-0.0760,1.017
0.652198077,0.7525,0.6787,-0.0760,1.016
0.657375808,0.7520,0.6790,-0.0762,1.016
0.657869846,0.7527,0.6787,-0.0748,1.016
0.659443115,0.7527,0.6772,-0.0743,1.015
0.663024038,0.7520,0.6758,-0.0748,1.014
0.663501615,0.7520,0.6758,-0.0748,1.014
0.666754038,0.7527,0.6753,-0.0757,1.014
0.667767923,0.7527,0.6746,-0.0760,1.014
0.668072,0.7513,0.6760,-0.0755,1.013
0.671622615,0.7498,0.6760,-0.0757,1.012
0.674354615,0.7469,0.6748,-0.0787,1.010
0.675712846,0.7435,0.6746,-0.0792,1.007
0.678339615,0.7425,0.6736,-0.0806,1.006
0.678685654,0.7408,0.6731,-0.0801,1.004
0.683564038,0.7371,0.6726,-0.0833,1.001
0.684107192,0.7371,0.6726,-0.0833,1.001
0.684303385,0.7327,0.6729,-0.0845,0.998
0.686624846,0.7310,0.6731,-0.0862,0.997
0.689857731,0.7278,0.6743,-0.0870,0.996
0.692721115,0.7273,0.6755,-0.0889,0.997
0.693032846,0.7266,0.6755,-0.0901,0.996
0.697833654,0.7222,0.6750,-0.0936,0.993
0.698336846,0.7193,0.6760,-0.0960,0.992
0.698488654,0.7171,0.6763,-0.0960,0.990
0.701667115,0.7139,0.6768,-0.0992,0.989
0.702074923,0.7115,0.6787,-0.1004,0.988
0.704368154,0.7093,0.6797,-0.1014,0.988
0.706145269,0.7075,0.6846,-0.1036,0.990
0.708125115,0.7046,0.6873,-0.1077,0.990
0.710371231,0.7024,0.6895,-0.1085,0.990
0.713092346,0.6995,0.6941,-0.1109,0.992
0.714283923,0.6990,0.6951,-0.1121,0.992
0.716178154,0.6968,0.6997,-0.1138,0.994
0.7186965,0.6943,0.7046,-0.1178,0.996
0.722980115,0.6895,0.7095,-0.1190,0.996
0.723267808,0.6895,0.7095,-0.1190,0.996
0.724831154,0.6853,0.7139,-0.1212,0.997
0.726111231,0.6851,0.7158,-0.1217,0.998
0.730046385,0.6843,0.7180,-0.1241,1.000
0.730408269,0.6814,0.7198,-0.1268,0.999
0.732088885,0.6802,0.7215,-0.1285,1.000
0.734252731,0.6792,0.7251,-0.1314,1.002
0.737095461,0.6750,0.7273,-0.1334,1.001
0.738377,0.6738,0.7281,-0.1351,1.001
0.742529615,0.6709,0.7293,-0.1380,1.001
0.742764,0.6687,0.7300,-0.1395,1.000
0.743897885,0.6670,0.7305,-0.1402,0.999
0.747401692,0.6645,0.7325,-0.1427,0.999
0.748085154,0.6636,0.7339,-0.1437,1.000
0.750003769,0.6628,0.7342,-0.1446,1.000
0.751999577,0.6621,0.7364,-0.1478,1.001
0.753951231,0.6628,0.7369,-0.1490,1.002
0.756095461,0.6643,0.7388,-0.1510,1.005
0.758421038,0.6648,0.7415,-0.1537,1.008
0.762246961,0.6626,0.7430,-0.1571,1.008
0.762507769,0.6626,0.7430,-0.1571,1.008
