time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-02-07 22:24:19.9090,0.119,-0.319,-0.947,-0.63,-1.01,0.27,-0.27,0.13,1.32
2022-02-07 22:24:38.8100,0.127,-0.33,-0.919,-0.71,-0.91,0.22,-0.2,0.05,1.28
2022-02-07 22:24:38.8170,0.138,-0.332,-0.873,-0.86,-0.85,-0.22,-0.14,0.13,1.3
2022-02-07 22:24:38.8280,0.146,-0.323,-0.823,-0.97,-0.92,-0.71,-0.14,0.42,1.37
2022-02-07 22:24:38.8380,0.147,-0.31,-0.795,-0.99,-1.03,-1.07,-0.18,0.8,1.48
2022-02-07 22:24:38.8480,0.134,-0.29,-0.784,-0.87,-1.2,-1.19,-0.27,1.12,1.55
2022-02-07 22:24:38.8580,0.121,-0.283,-0.779,-0.66,-1.29,-1.27,-0.39,1.3,1.59
2022-02-07 22:24:38.8680,0.127,-0.295,-0.775,-0.62,-1.17,-1.32,-0.48,1.39,1.58
2022-02-07 22:24:38.8780,0.134,-0.316,-0.769,-0.64,-0.95,-1.39,-0.55,1.42,1.56
2022-02-07 22:24:38.8880,0.138,-0.339,-0.76,-0.63,-0.66,-1.48,-0.6,1.4,1.53
2022-02-07 22:24:38.8980,0.142,-0.344,-0.752,-0.59,-0.53,-1.58,-0.63,1.36,1.51
2022-02-07 22:24:38.9090,0.145,-0.34,-0.751,-0.57,-0.51,-1.62,-0.63,1.34,1.51
Time,0.145,-0.324,-0.745,-0.5,-0.59,-1.67,-0.61,1.39,1.56
2022-02-07 22:24:38.9280,0.145,-0.306,-0.74,-0.44,-0.75,-1.74,-0.56,1.44,1.64
2022-02-07 22:24:38.9380,0.141,-0.305,-0.767,-0.34,-0.78,-1.61,-0.51,1.33,1.68
2022-02-07 22:24:38.9490,0.148,-0.322,-0.821,-0.36,-0.62,-1.07,-0.44,1.0,1.71
Time,0.154,-0.34,-0.82,-0.44,-0.42,-0.93,-0.41,0.62,1.73
2022-02-07 22:24:38.9690,0.145,-0.356,-0.79,-0.43,-0.24,-1.22,-0.38,0.31,1.74
2022-02-07 22:24:38.9790,0.113,-0.373,-0.766,-0.23,-0.07,-1.47,-0.34,0.06,1.75
2022-02-07 22:24:38.9890,0.057,-0.387,-0.728,0.2,0.1,-1.81,-0.34,-0.12,1.74
2022-02-07 22:24:38.9990,-0.275,-0.367,-0.814,1.64,0.09,-1.95,-0.11,0.47,1.4
2022-02-07 22:24:39.0090,-1.404,-0.305,-2.193,13.81,-1.07,9.06,1.99,2.38,-0.16
