time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
Time,0.2,-0.222,-0.953,-0.1,0.69,-0.17,-0.23,-0.19,0.82
2022-02-09 17:35:57.1280,0.196,-0.222,-0.966,-0.09,0.75,-0.13,-0.14,-0.08,0.81
2022-02-09 17:35:57.1390,0.193,-0.206,-0.973,-0.07,0.67,-0.02,-0.03,0.05,0.78
2022-02-09 17:35:57.1490,0.207,-0.197,-0.977,-0.1,0.51,0.03,0.06,0.16,0.75
2022-02-09 17:35:57.1590,0.223,-0.191,-0.985,-0.26,0.42,0.09,0.12,0.22,0.72
2022-02-09 17:35:57.1690,0.223,-0.191,-0.982,-0.36,0.35,0.15,0.15,0.26,0.69
2022-02-09 17:35:57.1790,0.223,-0.188,-0.962,-0.32,0.33,0.06,0.16,0.3,0.66
2022-02-09 17:35:57.1890,0.222,-0.177,-0.947,-0.32,0.24,-0.14,0.15,0.31,0.61
2022-02-09 17:35:57.1990,0.212,-0.167,-0.94,-0.24,0.09,-0.24,0.14,0.3,0.55
2022-02-09 17:35:57.2090,0.201,-0.166,-0.931,-0.12,0.01,-0.29,0.13,0.29,0.49
2022-02-09 17:35:57.2190,0.201,-0.168,-0.925,-0.02,-0.02,-0.38,0.14,0.27,0.44
2022-02-09 17:35:57.2290,0.208,-0.179,-0.929,-0.04,0.02,-0.38,0.17,0.26,0.42
2022-02-09 17:35:57.2390,0.211,-0.183,-0.915,-0.08,0.1,-0.37,0.18,0.26,0.39
2022-02-09 17:35:57.2500,0.204,-0.189,-0.885,-0.06,0.09,-0.59,0.17,0.29,0.37
2022-02-09 17:35:57.2600,0.193,-0.201,-0.866,0.05,0.16,-0.86,0.12,0.3,0.35
2022-02-09 17:35:57.2700,0.188,-0.206,-0.856,0.18,0.25,-0.98,0.05,0.28,0.34
2022-02-09 17:35:57.2800,0.192,-0.211,-0.861,0.2,0.26,-1.05,-0.02,0.26,0.32
2022-02-09 17:35:57.2900,0.194,-0.215,-0.889,0.18,0.33,-0.9,-0.06,0.22,0.3
