time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-01-27 13:26:16.4160,0.268,-0.437,-0.691,-0.25,0.21,-3.84,0.24,0.14,-0.16
2022-01-27 14:9:55.7370,0.291,-0.507,-0.817,-0.51,0.33,-2.51,0.2,0.11,-0.13
2022-01-27 14:9:55.7430,0.274,-0.549,-0.901,-1.0,0.92,-1.25,0.14,-0.07,0.17
2022-01-27 14:9:55.7530,0.261,-0.569,-0.933,-0.89,1.41,-0.27,0.09,0.09,0.38
2022-01-27 14:9:55.7600,0.249,-0.587,-0.91,-0.5,1.66,0.26,0.05,0.72,0.58
2022-01-27 14:9:55.7720,0.275,-0.665,-0.86,-0.5,1.66,0.26,0.04,1.55,0.71
2022-01-27 14:9:55.7820,0.23,-0.63,-0.87,-0.87,2.5,-0.24,0.1,2.1,0.77
2022-01-27 14:9:55.7920,0.233,-0.563,-0.961,-0.46,2.52,-0.44,0.19,2.34,0.83
2022-01-27 14:9:55.8030,0.281,-0.515,-0.986,-0.1,1.86,0.31,0.19,2.34,0.83
2022-01-27 14:9:55.8130,0.355,-0.482,-0.9,-0.28,1.28,1.06,0.18,2.59,0.94
2022-01-27 14:9:55.8230,0.459,-0.508,-0.879,-0.73,0.86,0.53,-0.2,3.23,1.32
2022-01-27 14:9:55.8330,0.581,-0.606,-0.986,-1.43,0.78,-0.02,-0.45,3.22,1.48
2022-01-27 14:9:55.8430,0.663,-0.66,-1.142,-3.18,2.36,2.23,-0.78,2.88,1.5
2022-01-27 14:9:55.8530,0.686,-0.643,-1.282,-3.18,2.36,2.23,-0.78,2.88,1.5
2022-01-27 14:9:55.8640,0.678,-0.638,-1.419,-3.41,2.38,3.75,-1.41,1.28,1.36
2022-01-27 14:9:55.8720,0.63,-0.583,-1.502,-3.29,2.28,5.14,-1.41,0.2784590423107147,1.26
2022-01-27 14:9:55.8830,0.542,-0.455,-1.534,-2.93,2.15,6.22,-1.7,-0.73,1.19
2022-01-27 14:9:55.8930,0.442,-0.374,-1.522,-2.18,1.09,6.63,-1.7,-0.73,1.19
2022-01-27 14:9:55.9030,0.334,-0.31,-1.39,-1.31,0.18,6.64,-2.03,-1.33,1.31
2022-01-27 14:9:55.9140,0.174,-0.191,-1.191,-0.47,-0.3,5.85,-2.1,-1.25,1.52
2022-01-27 14:9:55.9230,-0.009,-0.105,-1.169,2.46,-2.03,3.04,-1.95,-0.8,1.69
2022-01-27 14:9:55.9330,-0.079,0.018,-1.029,2.46,-2.03,3.04,-1.52,-0.3,1.82
2022-01-27 14:9:55.9440,-0.18,0.033,-0.964,3.31,-2.95,1.63,-1.52,-0.3,1.82
2022-01-27 14:9:55.9530,-0.25,0.011,-0.93,4.03,-3.56,0.79,-0.97,0.5,1.81
2022-01-27 14:9:55.9630,-0.22,0.037,-0.934,4.96,-3.15,0.23,0.08,1.64,1.38
2022-01-27 14:9:55.9730,-0.145,0.007,-0.952,5.04,-3.37,0.21,0.54,1.66,1.22
2022-01-27 14:9:55.9830,-0.061,-0.034,-0.964,4.52,-3.32,0.36,0.92,1.27,1.07
2022-01-27 14:9:55.9930,-0.017,-0.07,-1.02,3.77,-2.97,0.59,0.92,1.27,1.07
2022-01-27 14:9:56.0030,-0.014,-0.114,-1.06,3.11,-2.46,1.66,1.35,-0.09,0.52
2022-01-27 14:9:56.0130,0.0,-0.139,-1.011,3.11,-2.46,1.66,1.23,-0.84,-0.15
2022-01-27 14:9:56.0230,0.145,-0.031,-1.21,2.13,-2.81,2.16,0.58,-2.15,-1.36
2022-01-27 14:9:56.0330,0.18,-0.077,-1.23,2.13,-2.81,2.16,0.12,-2.91,-2.14
2022-01-27 14:9:56.0430,-0.007,-0.35,-0.757,0.86,-3.55,4.13,0.03,-2.95,-2.11
2022-01-27 14:9:56.0540,-0.133,-0.443,-0.592,1.97,-1.12,0.45,0.02,-2.81,-1.68
2022-01-27 14:9:56.0640,-0.157,-0.432,-0.649,3.47,0.66,-2.88,-0.01,-2.54,-1.21
2022-01-27 14:9:56.0730,-0.14,-0.43,-0.663,3.81,0.75,-2.71,-0.05,-2.0,-0.87
2022-01-27 14:9:56.0830,-0.172,-0.431,-0.665,3.54,0.7,-2.4,-0.05,-2.0,-0.87
2022-01-27 14:9:56.0940,-0.262,-0.416,-0.7,3.39,0.76,-2.52,-0.07,-1.59,-0.68
2022-01-27 14:9:56.1040,-0.338,-0.391,-0.711,4.06,0.68,-2.25,-0.05,-1.21,-0.86
2022-01-27 14:9:56.1140,-0.407,-0.35,-0.697,4.75,0.5,-2.06,-0.06,-1.1,-1.19
2022-01-27 14:9:56.1230,-0.426,-0.323,-0.713,5.39,0.16,-2.17,-0.06,-1.01,-1.56
2022-01-27 14:9:56.1330,-0.386,-0.311,-0.717,5.75,-0.16,-2.17,-0.06,-1.01,-1.56
2022-01-27 14:9:56.1440,-0.352,-0.313,-0.707,5.03,-0.29,-2.14,-0.17,-0.7,-1.88
2022-01-27 14:9:56.1540,-0.361,-0.328,-0.71,5.03,-0.29,-2.14,-0.17,-0.7,-1.88
2022-01-27 14:9:56.1640,-0.295,-0.281,-0.748,4.98,-0.11,-2.22,-0.3,-0.52,-1.8
2022-01-27 14:9:56.1740,-0.254,-0.243,-0.797,4.7,-0.27,-1.91,-0.31,-0.66,-1.91
2022-01-27 14:9:56.1840,-0.27,-0.178,-0.918,4.08,-1.05,-0.64,-0.24,-0.95,-2.13
2022-01-27 14:9:56.1940,-0.268,-0.09,-1.005,4.08,-1.05,-0.64,0.04,-1.16,-2.37
2022-01-27 14:9:56.2040,-0.256,-0.071,-0.984,4.14,-1.96,0.45,0.37,-1.19,-2.58
2022-01-27 14:9:56.2140,-0.231,-0.063,-0.951,3.99,-2.29,0.59,0.5,-1.16,-2.77
2022-01-27 14:9:56.2240,-0.157,-0.066,-0.978,3.82,-2.39,0.16,0.44,-1.17,-2.92
2022-01-27 14:9:56.2340,-0.069,-0.063,-1.005,3.23,-2.39,0.23,0.44,-1.17,-2.92
